㑮	㑮\t𫝈
㑯	㑔
㑳	㑇
㑶	㐹
㒓	㒓\t𠉂
㓄	㓄\t𪠟
㓨	刾
㔋	㔋\t𪟎
㖮	㖮\t𪠵
㗲	𠵾
㗿	㗿\t𪡛
㘉	㘉\t𠰱
㘓	㘓\t𪢌
㘔	㘔\t𫬐
㘚	㘎
㛝	㛝\t𫝦
㜄	㚯
㜏	㛣
㜐	㜐\t𫝧
㜗	㜗\t𡞋
㜢	𡞱
㜷	㜷\t𡝠
㞞	㞞\t𪨊
㟺	㟺\t𪩇
㠏	㟆
㠣	𫵷
㢗	㢗\t𪪑
㢝	㢝\t𢋈
㥮	㤘
㦎	㦎\t𢛯
㦛	㦛\t𢗓
㦞	㦞\t𪫷
㨻	㨻\t𪮃
㩋	㩋\t𪮋
㩜	㨫
㩳	㧐
㩵	擜
㪎	㪎\t𪯋
㯤	㯤\t𣘐
㰙	㰙\t𣗙
㵗	㵗\t𣳆
㵾	㵾\t𪷍
㶆	㶆\t𫞛
㷍	㷍\t𤆢
㷿	㷿\t𤈷
㸇	㸇\t𤎺
㹽	㹽\t𫞣
㺏	𤠋
㺜	㺜\t𪺻
㻶	㻶\t𪼋
㿖	㿖\t𪽮
㿗	㿗\t𤻊
㿧	㿧\t𤽯
䀉	䀉\t𥁢
䀹	䀹\t𥅴
䁪	𥇢
䁻	䀥
䂎	䂎\t𥎝
䃮	鿎
䅐	䅐\t𫀨
䅳	䅳\t𫀬
䆉	䆉\t𫁂
䉑	䉑\t𫁲
䉙	䉙\t𥬀
䉬	䉬\t𫂈
䉲	䉲\t𥮜
䉶	䉶\t𫁷
䊭	䊭\t𥺅
䊷	䌶
䊺	䊺\t𫄚
䋃	䋃\t𫄜
䋔	䋔\t𫄞
䋙	䌺
䋚	䌻
䋦	䋦\t𫄩
䋹	䌿
䋻	䌾
䋼	䋼\t𫄮
䋿	䋿\t𦈓
䌈	䌈\t𦈖
䌋	䌋\t𦈘
䌖	䌖\t𦈜
䌝	䌝\t𦈟
䌟	䌟\t𦈞
䌥	䌥\t𦈠
䌰	䌰\t𦈙
䍤	䍤\t𫅅
䍦	䍠
䍽	䍽\t𦍠
䎙	䎙\t𫅭
䎱	䎬
䓣	𬜯
䕤	䕤\t𫟕
䕳	䕳\t𦰴
䖅	䖅\t𫟑
䗅	䗅\t𫊪
䗿	䗿\t𧉞
䙔	䙔\t𫋲
䙡	䙌
䙱	䙱\t𧜭
䚩	䚩\t𫌯
䛄	䛄\t𫍠
䛳	䛳\t𫍫
䜀	䜧
䜖	䜖\t𫟢
䝭	䝭\t𫎧
䝻	䝻\t𧹕
䝼	䞍
䞈	䞈\t𧹑
䞋	䞋\t𫎪
䞓	䞓\t𫎭
䟃	䟃\t𫎺
䟆	䟆\t𫎳
䟐	䟐\t𫎱
䠆	䠆\t𫏃
䠱	䠱\t𨅛
䡐	䡐\t𫟤
䡩	䡩\t𫟥
䡵	𫟦
䢨	䢨\t𨑹
䤤	䤤\t𫟺
䥄	䥄\t𫠀
䥇	䦂
䥑	鿏
䥕	𬭯
䥗	䥗\t𫔋
䥩	䥩\t𨱖
䥯	䥯\t𫔆
䥱	䥾
䦘	䦘\t𨸄
䦛	䦶
䦟	䦷
䦯	䦯\t𫔵
䦳	䦳\t𨷿
䧢	𨸟
䪊	䪊\t𫖅
䪏	䪏\t𩏼
䪗	䪗\t𩐀
䪘	䪘\t𩏿
䪴	䪴\t𫖫
䪾	䪾\t𫖬
䫀	䫀\t𫖱
䫂	䫂\t𫖰
䫟	䫟\t𫖲
䫴	䫴\t𩖗
䫶	䫶\t𫖺
䫻	䫻\t𫗇
䫾	䫾\t𫠈
䬓	䬓\t𫗊
䬘	䬘\t𩙮
䬝	䬝\t𩙯
䬞	䬞\t𩙧
䬧	䬧\t𫗟
䭀	䭀\t𩠇
䭃	䭃\t𩠈
䭑	䭑\t𫗱
䭔	䭔\t𫗰
䭿	䭿\t𩧭
䮄	𫠊
䮝	䮝\t𩧰
䮞	䮞\t𩨁
䮠	䮠\t𩧿
䮫	䮫\t𩨇
䮰	䮰\t𫘮
䮳	䮳\t𩨏
䮾	䮾\t𩧪
䯀	䯅
䯤	䯤\t𩩈
䰾	鲃
䱀	䱀\t𫚐
䱁	䱁\t𫚏
䱙	䱙\t𩾈
䱧	䱧\t𫚠
䱬	䱬\t𩾊
䱰	䱰\t𩾋
䱷	䲣
䱸	䱸\t𫠑
䱽	䲝
䲁	鳚
䲅	䲅\t𫚜
䲖	䲖\t𩾂
䲘	鳤
䲰	䲰\t𪉂
䳜	䳜\t𫛬
䳢	䳢\t𫛰
䳤	䳤\t𫛮
䳧	䳧\t𫛺
䳫	䳫\t𫛼
䴉	鹮
䴋	䴋\t𫜅
䴬	䴬\t𪎈
䴱	䴱\t𫜒
䴴	䴴\t𪎋
䴽	䴽\t𫜔
䵳	䵳\t𪑅
䵴	䵴\t𫜙
䶕	䶕\t𫜨
䶲	䶲\t𫜳
丟	丢
並	并
么	么\t幺
乾	干\t乾
亂	乱
亙	亘
亞	亚
仝	仝\t同
佇	伫
佈	布
佔	占
併	并
來	来
侖	仑
侶	侣
侷	局
俁	俣
係	系
俓	俓\t𠇹
俔	伣
俠	侠
俥	伡
俬	私
俱	俱\t具
倀	伥
倆	俩
倈	俫
倉	仓
個	个
們	们
倖	幸
倫	伦
倲	㑈
偉	伟
偑	㐽
側	侧
偵	侦
偽	伪
傌	㐷
傑	杰
傖	伧
傘	伞
備	备
傢	家
傭	佣
傯	偬
傳	传
傴	伛
債	债
傷	伤
傾	倾
僂	偻
僅	仅
僉	佥
像	像\t象
僑	侨
僕	仆
僞	伪
僤	𫢸
僥	侥
僨	偾
僱	雇
價	价
儀	仪
儁	俊
儂	侬
億	亿
儈	侩
儉	俭
儎	傤
儐	傧
儔	俦
儕	侪
儘	尽\t侭
償	偿
儣	儣\t𠆲
優	优
儭	儭\t𠋆
儲	储
儷	俪
儸	㑩
儺	傩
儻	傥
儼	俨
兇	凶
兌	兑
兒	儿
兗	兖
內	内
兩	两
冊	册
冑	胄
冪	幂
凈	净
凍	冻
凙	凙\t𪞝
凜	凛
凱	凯
別	别
刪	删
剄	刭
則	则
剋	克\t剋
剎	刹
剗	刬
剛	刚
剝	剥
剮	剐
剴	剀
創	创
剷	铲
剾	剾\t𠛅
劃	划\t㓰
劄	札\t劄
劇	剧
劉	刘
劊	刽
劌	刿
劍	剑
劏	㓥
劑	剂
劚	㔉
勁	劲
勑	勑\t𠡠
動	动
務	务
勛	勋
勝	胜
勞	劳
勢	势
勣	𪟝\t绩
勩	勚
勱	劢
勳	勋
勵	励
勸	劝
勻	匀
匭	匦
匯	汇
匱	匮
區	区
協	协
卹	恤
卻	却
卽	即
厙	厍
厠	厕
厤	历
厭	厌
厲	厉
厴	厣
參	参
叄	叁
叚	叚\t假
叢	丛
吒	咤\t吒
吳	吴
吶	呐
呂	吕
咼	呙
員	员
哩	哩\t里
哯	哯\t𠯟
唄	呗
唓	唓\t𪠳
唸	念
問	问
啓	启
啞	哑
啟	启
啢	唡
喆	喆\t哲
喎	㖞
喚	唤
喪	丧
喫	吃
喬	乔
