aabq	傲岸不羣
aabx	皚皚白雪
aaiq	暗暗稱奇
aadb	嗷嗷待哺
aaff	安安分分
aafm	哀哀父母
aajj	安安靜靜
aapp	矮矮胖胖
aaqd	暗暗祈禱
aaqq	安安全全
aaww	安安穩穩
aaxx	安安心心
aayj	哀哀欲絕
aayy	安安逸逸
hhzr	昂昂自若
aazu	暗暗咂舌
abaq	安不安全
abay	安不安逸
abbb	哀兵必敗
abbd	按兵不動
abbj	按兵不舉
abbu	哀兵必勝
abdi	安步當車
abdg	安邦定國
abdy	阿鼻地獄
abgq	熬不過去
abhz	阿布哈茲
abjb	按部就班\t按步就班
abkv	傲不可長\t敖不可長
ablk	愛別離苦
ablm	鞍不離馬
abru	愛不忍釋
abrz	愛兵如子
abuj	按兵束甲\t案兵束甲
abuu	愛不釋手
abvb	阿布扎比
abvg	安邦治國
abvh	阿布扎哈
abww	安不忘危
aiiu	安常處順
aidr	暗錘打人
aigd	熬腸刮肚
ailu	安常履順
aipl	安車蒲輪
hcqi	昂藏七尺
acrk	愛才若渴\t愛才如渴
acrm	愛財如命\t愛才如命
aiuf	安常守分
aiug	安常守故
acuj	暗藏殺機
aixg	安常習故
acxj	暗藏玄機
aixy	暗潮洶湧
adbl	愛答不理
adic	暗度陳倉\t暗渡陳倉
adjv	暗度金針
adlx	案牘勞形
adly	澳大利亞\t安堵樂業
admv	暗鬥明爭
adrg	安堵如故\t按堵如故
adue	挨凍受餓
adtj	安定團結
adwg	暗淡無光\t黯淡無光
adwn	安度晚年
adys	愛得要死
adyx	安定有序
advl	案牘之勞
aebn	奧爾巴尼
aebs	阿爾卑斯
aebu	哀而不傷
aeje	阿爾及爾
afaf	安撫安撫
afjf	挨風緝縫
afli	鰲憤龍愁
afqf	捱風緝縫
afuj	安分守己\t安份守己
afuy	安分守已
afvz	安分知足
afxi	案發現場
afxp	安富恤貧\t愛富嫌貧
afxq	安富恤窮
afzr	安富尊榮
agam	阿哥阿妹\t阿狗阿貓
agaw	阿姑阿翁\t阿家阿翁
agbf	哀告賓服
agfm	安國富民
agjy	愛崗敬業
agll	傲骨嶙嶙
agnj	安國寧家
agrj	愛國如家
agru	愛國人士
agst	奧古斯塔
aguy	熬更守夜
agtd	哀感天地
agvv	阿甘正傳
agvx	愛國之心
agvy	愛國主義
agwy	哀感頑豔
agvb	岸谷之變
agvn	哀感中年
agvq	安故重遷
ahbd	哀鴻遍地
ahby	哀鴻遍野
ahdp	安魂定魄
ahgl	哀毀骨立
ahjj	愛恨交加
ahjl	哀毀瘠立
ahjv	愛恨交織
ahuv	愛鶴失衆
ahwj	懊悔無及
ahxi	黯晦消沉
ajah	挨家挨戶
ajaj	安靜安靜
ajbz	挨肩並足
ajcb	挨肩擦背\t挨肩擦膀
ajcl	挨肩擦臉
ajim	案劍瞋目
ajdb	挨肩搭背\t挨肩迭背\t挨肩疊背
ajjw	阿嬌金屋
ajlh	安家落戶
ajly	安家立業\t安居樂業\t安家樂業
ajmd	阿基米德
ajmq	暗箭明槍
ajnf	暗箭難防
ajqb	按甲寢兵
ajur	暗箭傷人
ajvy	安家置業
ajxb	按甲休兵\t案甲休兵
ajxc	熬薑呷醋
ajxt	暗礁險灘
ajxz	按跡循蹤
ajvr	暗箭中人
akbk	愛看不看
akud	熬枯受淡
akux	礙口識羞
albb	阿里巴巴
albl	愛理不理
alib	安良除暴
alcy	愛禮存羊
aldz	鰲裏奪尊
alfp	按勞分配
alhu	安老懷少
allu	按理來說
alpk	奧林匹克
alpy	奧林匹亞
alqi	按勞取酬
alsj	阿拉斯加
alxh	暗綠稀紅
alyd	暗流湧動
alvu	哀梨蒸食
amag	阿貓阿狗
amah	挨門挨戶
amam	按摩按摩
ambm	曖昧不明
ambx	傲慢不遜
amby	鰲鳴鱉應
amdy	安眉帶眼
amfq	愛毛反裘
amgu	安民告示
amld	鞍馬勞頓
amlj	鞍馬勞倦
amlk	鞍馬勞困
amlu	鞍馬勞神
amnv	愛莫能助
amrz	愛民如子
amul	傲慢少禮
amvh	挨門逐戶
amvx	愛美之心
amwl	傲慢無禮
amwq	奧妙無窮
amxr	愛慕虛榮
amvl	鞍馬之勞
amvq	曖昧之情
amzu	按名責實
amvu	闇昧之事
amvv	愛莫之助
anbv	按捺不住
anby	懊惱不已
ancm	礙難從命
andv	傲睨得志
anrw	安內攘外
anww	傲睨萬物
anyq	傲睨一切
anyu	傲睨一世
anzr	傲睨自若
apap	安排安排
apdy	阿毗地獄
apjd	阿平絕倒
apld	安貧樂道
aplj	安貧樂賤
apud	安貧守道
apxx	按轡徐行
aqan	暗氣暗惱
aqbx	哀其不幸
aqdy	安全第一
aqmh	鞍前馬後
aqqj	安全起見
aqrm	愛錢如命
aqud	熬清守淡\t熬清受淡
aqut	熬清守談
aqxu	安全係數
ardm	岸然道貌
argi	矮人觀場
arhu	愛人好士
arji	愛如己出
arki	矮人看場
arkq	藹然可親
arkx	矮人看戲
arlw	愛人利物
arpu	安如磐石\t安如盤石
arrg	安然如故
arrm	安然入眠
arru	安然入睡
arrv	藹然仁者
aruu	黯然神傷\t黯然傷神
arus	黯然失色
artl	傲然挺立
artu	安如泰山\t安如太山\t安若泰山
arwd	闇弱無斷
arwq	安忍無親
arwu	安然無事
arws	黯然無色
arwy	安然無恙
arxh	黯然銷魂
arxl	愛日惜力
