菊花	🌼
美元	$\t💵\t💲
美刀	$
星號	*️⃣
星號鍵	*️⃣
零	0️⃣
一	1️⃣
二	2️⃣
三	3️⃣
四	4️⃣
五	5️⃣
六	6️⃣
七	7️⃣
八	8️⃣
九	9️⃣
港元	HK$
港幣	HK$
澳門元	MOP$
澳門幣	MOP$
葡幣	MOP$
新加坡元	S$
新加坡幣	S$
英鎊	£\t💷
鎊	£
copyright	©
版權	©
版權符號	©
registered	®
註冊	®
註冊商標	®
註冊標記	®
泰銖	฿
銖	฿
倆歎號	‼️
雙歎號	‼️
雙驚歎號	‼️
雙感嘆號	‼️
歎號問號	⁉️
嘆問號	⁉️
驚問	⁉️
感嘆號問號	⁉️
疑問驚歎	⁉️
疑問驚歎號	⁉️
盧比	₨
歐元	€\t💶
印度盧比	₹
比特幣	₿
TM	™
商標	™
商標符號	™
info	ℹ️
information	ℹ️
資訊	ℹ️
左右	↔️
左右箭頭	↔️
上下	↕️
上下箭頭	↕️
左上	↖️
左上箭頭	↖️
右上	↗️
右上箭頭	↗️
右下	↘️
右下箭頭	↘️
左下	↙️
左下箭頭	↙️
回車	↩️
手錶	⌚
表	⌚
沙漏	⌛\t⏳
牛皮	🐮🍺
紅鳳凰	🐦‍🔥
電腦鍵盤	⌨️
鍵盤	⌨️
彈出	⏏️
彈出按鈕	⏏️
推出	⏏️
推出按鈕	⏏️
快進	⏩
快進符號	⏩
快退	⏪
快退符號	⏪
快上	⏫
快下	⏬
下一首	⏭️
上一首	⏮️
播放暫停	⏯️
鬧錶	⏰
鬧鐘	⏰
秒錶	⏱\t⏱️
計時器	⏱\t⏱️
定時器	⏲\t⏲️
暫停	⏸️
停止	⏹️
停止播放	⏹️
開始錄像	⏺️
開始錄音	⏺️
錄像	⏺️
錄像按鈕	⏺️
錄音	⏺️
錄音按鈕	⏺️
小方塊	▪\t▫
小正方形	▪\t▫
白色小方塊	▫
黑色小方塊	▪
開始	▶️
開始播放	▶️
播放	▶️
倒退	◀️
倒退按鈕	◀️
黑色中方塊	◼
中方塊	◼\t◻
中正方形	◼\t◻
中等方塊	◼\t◻
中等正方形	◼\t◻
白色中方塊	◻
中小方塊	◾\t◽
黑色大方塊	⬛
大方塊	⬛\t⬜
大正方形	⬛\t⬜
白色大方塊	⬜
太陽	☀️\t🌞
日	☀️
晴天	☀️
cloud	☁️
雲	☁️
雲彩	☁️
雲朵	☁️
天氣	☁️
傘狀	☂️
打傘	☂️\t☔
撐傘	☂️\t☔
哈雷	☄️
哈雷彗星	☄️
彗星	☄️
固定電話	☎️
固話	☎️
座機	☎️
電話	☎️
勾選	☑️\t✔
複選	☑️
複選按鈕	☑️
複選框	☑️
打對鉤	☑️
打鉤	☑️
按鈕	☑️\t🔘
咖啡	☕
咖啡杯	☕
喝咖啡	☕
熱飲	☕
三葉草	☘
