he	他\t氦
li	鋰
be	鈹
ne	氖
na	鈉
mg	鎂
al	鋁
si	硅
cl	氯
ar	氬
ca	鈣
sc	鈧
ti	鈦
cr	鉻
mn	錳
fe	鐵
co	鈷
ni	鎳
cu	銅
zn	鋅
ga	鎵
ge	鍺
as	砷
se	硒
br	溴
kr	氪
rb	銣
sr	鍶
zr	鋯
nb	鈮
mo	鉬
ru	釕
rh	銠
pd	鈀
ag	銀
cd	鎘
in	銦
sn	錫
sb	銻
te	碲
xe	氙
cs	銫
ba	鋇
la	鑭
ce	鈰
pr	鐠
nd	釹
sm	釤
eu	銪
gd	釓
tb	鋱
dy	鏑
ho	鈥
er	鉺
tm	銩
yb	鐿
lu	鑥
hf	鉿
ta	鉭
re	錸
os	鋨
ir	銥
pt	鉑
au	金
hg	汞
tl	鉈
pb	鉛
bi	鉍
th	釷
pa	鏷
aa	氨基酸
aaa	最高評級
zte	中興
aaliyah	阿麗雅
aardvark	土豚
aardwolf	土狼
aarhus	奧胡斯
aaron	亞倫
aasvogel	禿鷲
aave	阿維語
aba	阿巴袍
ababa	亞的斯亞貝巴
abaci	算盤
aback	向後
abacus	算盤
abaft	在船尾
abalone	鮑魚
abandon	拋棄
abandoned	被拋棄的
abandonee	被棄者
abandoner	拋棄者
abandoning	拋棄中
abandonment	拋棄
abandons	拋棄
abas	阿巴斯
abase	貶低
abased	貶低的
abasement	貶低
abasements	貶低
abases	貶低
abash	使羞愧
abashed	羞愧的
abashes	使羞愧
abashing	使羞愧
abashment	羞愧
abasing	貶低中
abate	減少
abated	減少的
abatement	減少
abatements	減少
abater	減少者
abates	減少
abating	減少中
abatis	障礙物
abb	阿布
abba	阿爸
abbacy	修道院長職位
abbatial	修道院長的
abbe	修道院院長
abbess	女修道院院長
abbey	修道院
abbeys	修道院
abbot	修道院院長
abbots	修道院院長
abbott	阿博特
abbreviate	縮寫
abbreviated	縮寫的
abbreviates	縮寫
abbreviating	縮寫
abbreviation	縮寫
abbreviations	縮寫
abbreviator	縮寫者
abby	艾比
abc	基礎知識
abc	基礎知識
abcd	基礎知識
abcoulomb	庫侖
abdicate	退位
abdication	退位
abdicator	退位者
abdomen	腹部
abdomens	腹部
abdominal	腹部的
abduct	綁架
abducted	被綁架的
abduction	綁架
abductions	綁架
abductor	綁架者
abductors	綁架者
abducts	綁架
abdul	阿卜杜勒
abe	亞伯
abe	亞伯
abeam	正橫
abecedarian	初學者
abed	在牀上
abel	亞伯
abelian	阿貝爾
abelmosk	秋葵
abelson	艾貝爾森
aberdeen	阿伯丁
abernathy	阿伯內西
aberrance	異常
aberrant	異常的
aberration	偏差
aberrations	偏差
abestrine	石棉
abet	教唆
abets	教唆
abetted	教唆
abetter	教唆者
abetting	教唆
abeyance	中止
abfarad	絕對法拉
abhenry	絕對亨利
abhor	憎惡
abhorred	憎惡
abhorrence	憎惡
abhorrent	可惡的
abhorrer	憎惡者
abhorring	憎惡的
abhors	憎惡
abidance	遵守
abide	遵守
abided	遵守了
abides	遵守
abiding	遵守的
abidjan	阿比讓
abient	迴避的
abigail	阿比蓋爾
abilene	阿比林
abilities	能力
ability	能力
ability power carry	法強核心
abject	悲慘的
abjection	悲慘
abjections	悲慘狀態
abjectly	悲慘地
abjectness	悲慘
abjuration	放棄
abjure	放棄
abjured	放棄了
abjures	放棄
abjuring	放棄的
ablactation	斷奶
ablate	切除
ablated	切除了
ablates	消融
ablating	消融中
ablation	消融
ablative	離格
ablaut	元音交替
ablaze	燃燒
able	能夠
ablebodied	強壯的
abler	更能幹
ablest	最能幹
abloom	盛開
ablush	臉紅
ablution	沐浴
ably	能幹地
abnegate	放棄
abnegation	放棄
abner	艾布納
abnormal	異常
abnormalities	異常
abnormality	異常
abnormally	異常地
abnormity	畸形
abo	原住民
aboard	在船上
abode	住所
abodes	住所
aboil	沸騰
abolish	廢除
abolishable	可廢除
abolished	已廢除
abolisher	廢除者
abolishers	廢除者
abolishes	廢除
abolishing	廢除中
abolishment	廢除
abolishments	廢除
abolition	廢除
abolitionism	廢奴主義
abolitionist	廢奴主義者
abolitionists	廢奴主義者
abominable	可惡的
abominably	可惡地
abominate	憎惡
abomination	憎惡
aboral	背口的
aboriginal	土著的
aborigine	土著
aborigines	土著
aborning	誕生中
abort	中止
aborted	已中止
aborticide	墮胎藥
aborting	中止中
abortion	墮胎
abortionist	墮胎醫生
abortions	墮胎
abortive	失敗的
abortively	失敗地
aborts	中止
abos	阿博斯
abound	豐富
abounded	豐富
abounding	豐富
abounds	豐富
about	關於
above	上面
aboveboard	光明正大
aboveground	地上
abovementioned	上述
abracadabra	咒語
abradant	磨料
abrade	磨損
abraded	磨損
abrades	磨損
abrading	磨損
abraham	亞伯拉罕
abram	亞伯蘭
abramoff	阿布拉莫夫
abrams	艾布拉姆斯
abramson	艾布拉姆森
abrasion	磨損
abrasions	磨損
abrasive	磨料
abreact	宣泄
abreaction	宣泄
abreactions	宣泄
abreast	並排
abridge	刪節
abridged	刪節
abridgement	刪節
abridges	刪節
abridging	刪節
abridgment	刪節
abroad	國外
abrogate	廢除
abrogated	廢除
abrogates	廢除
abrogating	廢除
abrogation	廢除
abrupt	突然
abruptly	突然
abruptness	突然
abs	腹肌
abs	防抱死系統
anti-lock braking system	防抱死系統
abscess	膿腫
abscessed	膿腫
abscesses	膿腫
abscind	切斷
abscissa	橫座標
abscissas	橫座標
abscission	脫落
abscond	潛逃
absconded	潛逃
abscondence	潛逃
absconding	潛逃
absconds	潛逃
absence	缺席
absences	缺席
absent	缺席
absent-minded	心不在焉
absented	缺席
absentee	缺席者
absenteeism	曠工
absentees	缺席者
absentia	缺席
absenting	缺席
absently	心不在焉地
absentminded	心不在焉
absents	缺席
absinth	苦艾酒
absinthe	苦艾酒
absinthism	苦艾酒中毒
absolute	絕對的
absolutely	絕對地
absoluteness	絕對性
absolutes	絕對
absolution	赦免
absolutism	專制主義
absolutist	專制主義者
absolve	赦免
absolved	赦免
absolves	赦免
absolving	赦免
absorb	吸收
absorbability	吸收性
absorbable	可吸收的
absorbed	全神貫注的
absorbency	吸收能力
absorbent	吸收劑
absorber	吸收器
absorbing	吸收的
absorbs	吸收
absorptance	吸收率
absorption	吸收
absorptions	吸收
absorptive	吸收的
abstain	戒除
abstained	戒除了
abstainer	戒除者
abstaining	戒除中
abstains	戒除
abstemious	節制的
abstention	棄權
abstentions	棄權
abstergent	清潔劑
abstinence	禁慾
abstinent	禁慾的
abstract	抽象的
abstracted	心不在焉的
abstracting	抽象化
abstraction	抽象
abstractionism	抽象主義
abstractionist	抽象主義者
abstractions	抽象概念
abstractly	抽象地
abstractness	抽象性
abstractor	摘要者
abstractors	摘要者
abstracts	摘要
abstruse	深奧
abstruseness	深奧
absurd	荒謬
absurdities	荒謬
absurdity	荒謬
absurdly	荒謬地
absurdness	荒謬
abu	阿布
abulia	意志缺失
abundance	豐富
abundant	豐富的
abundantly	豐富地
abusage	濫用
abuse	濫用
abused	被濫用的
abuses	濫用
abusing	濫用
abusive	辱罵的
abut	鄰接
abutment	橋墩
abuts	鄰接
abuttals	地界
abutted	鄰接
abutter	鄰接者
abutters	鄰接者
abutting	鄰接
abuzz	嗡嗡作響的
abysmal	極糟的
abysmally	極糟地
abyss	深淵
abyssal	深淵的
abysses	深淵
abyssinia	阿比西尼亞
abyssinian	阿比西尼亞的
abyssinians	阿比西尼亞人
acacia	金合歡
academia	學術界
academic	學術的
academical	學術的
academically	學術上
academician	院士
academicism	學術主義
academics	學者
academies	學院
academy	學院
acadia	阿卡迪亞
acaleph	水母
acanthus	爵牀
acapulco	阿卡普爾科
accede	同意
acceded	同意
accedes	同意
accelerant	促進劑
accelerate	加速
accelerated	加速的
accelerates	加速
accelerating	加速
acceleration	加速度
accelerations	加速度
accelerator	加速器
accelerators	加速器
accelerometer	加速度計
accelerometers	加速度計
accent	口音
accented	帶口音的
accenting	強調
accents	口音
accentual	重音的
accentuate	強調
accentuated	強調的
accentuates	強調
accentuating	強調
accentuation	強調
accentuator	強調器
accept	接受
acceptability	可接受性
acceptable	可接受的
acceptably	可接受地
acceptance	接受
acceptances	接受
acceptation	詞義
accepted	接受的
accepter	接受者
accepters	接受者
accepting	接受
acceptor	接受器
acceptors	接受器
accepts	接受
access	訪問
microsoft access	微軟access
accessary	附件
accessed	訪問了
accesses	訪問
accessibility	可訪問性
accessible	可訪問
accessibly	可訪問地
accessing	訪問中
accession	加入
accessions	加入物
accessories	配件
accessorily	附帶地
accessors	訪問器
accessory	附件
accidence	詞形變化
accident	事故
accidental	偶然的
accidentally	偶然地
accidently	意外地
accidents	事故
accipitral	鷹的
acclaim	稱讚
acclaimed	受讚譽的
acclaiming	稱讚中
acclaims	稱讚
acclamation	歡呼
acclimate	適應
acclimated	適應了
acclimates	適應
acclimating	適應中
acclimation	適應
acclimatization	適應
acclimatize	適應
acclimatized	適應
acclivitous	上坡的
acclivity	上坡
accolade	榮譽
accolades	榮譽
accommodate	容納
accommodated	容納
accommodates	容納
accommodating	隨和的
accommodation	住宿
accommodations	住宿
accommodative	包容的
accommodator	調解者
accompanied	伴隨
accompanies	伴隨
accompaniment	伴奏
accompaniments	伴奏
accompanist	伴奏者
accompanists	伴奏者
accompany	伴隨
accompanying	伴隨
accomplice	同謀
accomplices	同謀
accomplish	完成
accomplished	完成的
accomplisher	完成者
accomplishers	完成者
accomplishes	完成
accomplishing	完成
accomplishment	成就
accomplishments	成就
accord	一致
accordance	依照
accordant	一致的
accorded	給予
accorder	授予者
accorders	授予者
according	根據
accordingly	相應地
accordion	手風琴
accordionist	手風琴手
accordions	手風琴
accords	協議
accost	搭訕
accosted	被搭訕
accosting	搭訕中
accosts	搭訕
accouchement	分娩
account	賬戶
account for	解釋
accountability	責任
accountable	有責任的
accountably	可問責地
accountancy	會計學
accountant	會計師
accountants	會計師
accounted	已計入
accounting	會計
accounts	賬戶
accouter	裝備
accouterments	裝備
accoutre	裝備
accoutrements	裝備
accra	阿克拉
accredit	認證
accreditation	認證
accreditations	認證
accredited	認證的
accrete	附着
accretion	增長
accretions	增長
accrual	應計
accrue	累積
accrued	累積的
accrues	累積
accruing	累積
acculturate	文化適應
acculturated	文化適應的
acculturates	文化適應
acculturating	文化適應
acculturation	文化適應
accumbent	臥着的
accumulate	積累
accumulated	積累的
accumulates	積累
accumulating	積累
accumulation	積累
accumulations	積累
accumulative	累積的
accumulator	累加器
accumulators	累加器
accuracies	準確度
accuracy	準確度
accurate	準確的
accurately	準確地
accurateness	準確性
accursed	被詛咒的
accurst	被詛咒的
accusal	指控
accusant	指控者
accusation	指控
accusations	指控
accusative	賓格的
accusatorial	控告式的
accusatory	指責的
accuse	指控
accused	被指控的
accuser	指控者
accuses	指控
accusing	指責的
accusingly	指責地
accustom	使習慣
accustomed	習慣的
accustoming	使習慣
accustoms	使習慣
acdbentity	未知實體
acdbline	直線
ace	王牌
acer	宏碁
acerb	尖刻
acerbate	激怒
acerbic	尖酸
acerbity	尖刻
acerose	針狀
aces	王牌
acetal	乙縮醛
acetanilide	乙酰苯胺
acetate	醋酸鹽
acetic	醋的
acetification	酸化
acetone	丙酮
acetous	醋的
acetylcholine	乙酰膽鹼
acetylene	乙炔
acetylenelamp	乙炔燈
acfun	a站
acg	二次元
animation comics games	動漫遊戲
achaea	阿哈伊亞
achaean	阿哈伊亞人
achaeans	阿哈伊亞人
ache	疼痛
ached	疼痛過
achene	瘦果
acheron	冥河
aches	疼痛
achievability	可實現性
achievable	可實現的
achieve	實現
achieved	已實現
achievement	成就
achievements	成就
achiever	成功者
achievers	成功者
achieves	實現
achieving	實現中
achilles	阿喀琉斯
aching	疼痛
achingly	極其
achondrite	無球粒隕石
achromatic	無色的
acia	尖刺
acid	酸
acidhead	癮君子
acidic	酸性的
acidification	酸化
acidify	使酸化
acidifying	酸化中
acidities	酸度
acidity	酸度
acidly	尖刻地
acidness	酸性
acidoid	似酸的
acidosis	酸中毒
acids	酸類
acidulate	使微酸
acidulated	已微酸
acidulating	微酸化中
acidulous	微酸
acidum	酸
ack	確認
ackemma	阿克馬
ackerman	阿克曼
ackley	阿克利
acknowledge	承認
acknowledgeable	可承認的
acknowledged	公認的
acknowledgement	確認
acknowledgements	致謝
acknowledger	承認者
acknowledgers	承認者
acknowledges	承認
acknowledging	承認中
acknowledgment	確認
acknowledgments	確認書
acm	協會
acm	協會
acme	頂點
acne	痤瘡
acock	翹起
acolyte	侍僧
acolytes	侍僧
aconite	烏頭
acorn	橡果
acorns	橡果
acoustic	聲學的
acoustical	聲學的
acoustically	聲學上
acquitter	無罪釋放
acquitting	無罪釋放
acre	英畝
acreage	英畝數
acres	英畝
acrid	辛辣
acridity	辛辣
acrimonious	尖刻
acrimony	尖刻
acrobat	雜技演員
acrobatic	雜技的
acrobatics	雜技
acrobats	雜技演員
acrolith	石木雕像
acromegalic	肢端肥大的
acromegaly	肢端肥大症
acronym	首字母縮略詞
acronyms	首字母縮略詞
acrophobia	恐高症
acropolis	衛城
across	穿過
acrostic	離合詩
acrylic	丙烯酸
act	行動
acta	學報
actaeon	阿克特翁
acted	行動
actin	肌動蛋白
acting	表演
actinic	光化
actinism	光化性
actinium	錒
actinometer	感光計
actinometers	感光計
action	行動
actionable	可起訴的
actions	行動
activate	激活
activated	激活的
activates	激活
activating	激活
activation	激活
activations	激活
activator	激活劑
activators	激活劑
active	活躍的
actively	積極地
activism	行動主義
activist	活動家
activists	活動家
activities	活動
activity	活動
actiyator	激活劑
acton	阿克頓
actor	演員
actors	演員
actress	女演員
actresses	女演員
acts	行爲
actual	實際
actualities	現實
actuality	現實
actualization	實現
actualize	實現
actually	實際上
actuals	實際
actuarial	精算
actuarially	精算上
actuary	精算師
actuate	驅動
actuated	驅動
actuates	驅動
actuating	驅動
actuation	驅動
actuator	執行器
actuators	執行器
acuity	敏銳
acumen	敏銳
acupuncture	鍼灸
acura	謳歌
acute	急性
acutely	敏銳地
acuteness	敏銳
acxiom	安客誠
acyclic	非循環
acyclically	非循環地
ad	廣告
ad	公元
ada	艾達
ada	艾達
adage	諺語
adages	諺語
adagio	柔板
adagios	柔板
adair	阿代爾
adam	亞當
adamant	堅決
adamantine	堅硬
adamantly	堅決地
adamite	亞當派
adams	亞當斯
adamson	亞當森
adapt	適應
adaptability	適應性
adaptable	適應性強的
adaptation	適應
adaptations	適應
adaptec	適配卡
adapted	適應的
