偏旁：⺁	反字框
偏旁：⺈	斜刀頭
偏旁：⺈	負字頭
偏旁：⺮	竹字頭
偏旁：⺶	羊字旁
偏旁：⺷	羊字頭
偏旁：⻊	足字旁
偏旁：㔾	㔾部
偏旁：㔾	倉字底
偏旁：丆	石字頭
偏旁：丬	將字旁
偏旁：丬	爿部
偏旁：丷	倒八
偏旁：丷	倒八字
偏旁：丷	八字頭
偏旁：丷	八字底
偏旁：丷	八部
偏旁：丷	蘭字頭
偏旁：亠	亠部
偏旁：亠	京字頭
偏旁：亻	人字旁
偏旁：亻	單人旁
偏旁：亻	單立人
偏旁：冂	冂部
偏旁：冂	同字框
偏旁：冖	冖部
偏旁：冖	禿寶蓋
偏旁：冫	兩點水
偏旁：冫	冫部
偏旁：冫	冰字旁
偏旁：凵	凵部
偏旁：凵	兇字框
偏旁：刂	刀部
偏旁：刂	立刀
偏旁：刂	立刀旁
偏旁：勹	包字頭
偏旁：匚	三框
偏旁：匚	三框兒
偏旁：匚	區字框
偏旁：卩	單耳刀
偏旁：卩	單耳旁
偏旁：卩	單耳朵
偏旁：卩	卩部
偏旁：卩	耳刀旁
偏旁：廠	偏廠
偏旁：廠	偏廠兒
偏旁：廠	廠字頭
偏旁：廠	厂部
偏旁：厶	厶部
偏旁：厶	私字旁
偏旁：囗	國字框
偏旁：囗	大口框
偏旁：囗	方框
偏旁：土	土字底
偏旁：土	土字旁
偏旁：土	土部
偏旁：土	提土旁
偏旁：夂	冬字頭
偏旁：夂	夂部
偏旁：夂	折文
偏旁：夂	折文兒
偏旁：夂	折文旁
偏旁：子	子字旁
偏旁：子	子部
偏旁：宀	宀部
偏旁：宀	寶蓋
偏旁：宀	寶蓋兒
偏旁：宀	寶蓋兒頭
偏旁：宀	寶蓋頭
偏旁：尢	尢部
偏旁：尢	尤字旁
偏旁：巛	三拐
偏旁：巛	三拐兒
偏旁：巛	巛部
偏旁：幺	幺部
偏旁：幺	幼字旁
偏旁：廣	廣字旁
偏旁：廣	广部
偏旁：廴	廴部
偏旁：廴	建之旁
偏旁：廾	廾部
偏旁：廾	弄字底
偏旁：彐	彐部
偏旁：彐	橫山
偏旁：彐	雪字底
偏旁：彡	三撇
偏旁：彡	三撇兒
偏旁：彡	彡部
偏旁：彳	雙人旁
偏旁：彳	雙立人
偏旁：彳	彳部
偏旁：忄	心部
偏旁：忄	豎心
偏旁：忄	豎心旁
偏旁：扌	手部
偏旁：扌	提手旁
偏旁：攵	反文
偏旁：攵	反文旁
偏旁：春	春字頭
偏旁：木	木字旁
偏旁：氵	三點水
偏旁：氵	水部
偏旁：火	火字旁
偏旁：灬	四點底
偏旁：灬	四點水
偏旁：灬	四點火
偏旁：爫	爪字頭
偏旁：牜	牛字旁
偏旁：犭	反犬旁
偏旁：犭	犬部
偏旁：王	斜玉旁
偏旁：王	玉部
偏旁：王	王字旁
偏旁：疒	病字頭
偏旁：疒	病字旁
偏旁：疒	病旁
偏旁：癶	登字頭
偏旁：皿	皿墩
偏旁：皿	皿墩兒
偏旁：皿	皿字底
偏旁：礻	示字旁
偏旁：礻	示補
偏旁：礻	示補兒
偏旁：禾	禾木旁
偏旁：米	米字旁
偏旁：糹	亂絞絲
偏旁：糹	亂絞絲兒
偏旁：糹	糸部
偏旁：糹	絞絲
偏旁：糹	絞絲兒
偏旁：糹	絞絲兒旁
偏旁：糸	絞絲底
偏旁：糹	絞絲旁
偏旁：罒	四字頭
偏旁：罒	扁四頭
偏旁：耂	老字頭
偏旁：艹	艸部
偏旁：艹	草頭
偏旁：艹	草字頭
偏旁：虍	虎字頭
偏旁：衤	衣字旁
偏旁：衤	衣補
偏旁：衤	衣補兒
偏旁：覀	西字頭
偏旁：訁	言字旁
偏旁：訁	言部
偏旁：車	車字旁
偏旁：辶	走之
偏旁：辶	走之旁
偏旁：辶	辵部
偏旁：釒	金字旁
偏旁：阝	雙耳刀
偏旁：阝	雙耳旁
偏旁：⻏	右耳刀
偏旁：⻖	左耳刀
偏旁：⻏	邑部
偏旁：⻖	阜部
偏旁：飠	食字旁
偏旁：飠	食部
偏旁：髟	髦字頭
偏旁：龹	卷字頭
偏旁：𠘨	幾字頭
偏旁：𠘨	幾字底
偏旁：𠘨	鳳字框
偏旁：𠘨	風字頭
符號：⌀	直徑
符號：^	脫字符
符號：^	插入符號
符號：·	點
符號：∂	par
符號：∫	int
符號：∮	oint
符號：Σ	sum
符號：∏	prod
符號：∇	nabla
符號：∞	infty
符號：Ɐ	forall
符號：∃	exists
符號：∝	propto
符號：∈	in
符號：∉	notin
符號：∂	偏導
符號：∫	積分
符號：∮	曲線積分
符號：Σ	求和
符號：∏	求積
符號：∇	哈密頓
符號：∞	無窮
符號：Ɐ	任意
符號：∃	存在
符號：∝	正比
符號：∈	屬於
符號：∉	不屬於
符號：⏚	接地
符號：⏚	接地線
符號：⏚	地線
符號：特殊符號	/fh
符號：電腦符號	/dn
符號：棋類符號	/xq
符號：麻將符號	/mj
符號：色子符號	/sz
符號：撲克符號	/pk
符號：普通表情符號	/bq
符號：天氣符號	/tq
符號：兩性符號	/lx
符號：八卦符號	/bg
符號：八卦名稱	/bgm
符號：六十四卦	/lssg
符號：六十四卦名	/lssgm
符號：天玄經符號	/txj
符號：星座符號	/xz
符號：星座名	/xzm
符號：星座宮	/xzg
符號：方塊符號	/fk
符號：箭頭符號	/jt
符號：數學符號	/sx
符號：羅馬數字	/lm
符號：羅馬數字「大寫」	/lmd
符號：上標	/sb
符號：下標	/xb
符號：希臘字母	/xl
符號：希臘字母「大寫」	/xld
符號：月份符號	/tf
符號：日期符號	/rf
符號：天干	/tg
符號：地支	/dz
符號：干支	/gz
符號：單位	/dw
符號：貨幣	/hb
符號：漢字結構	/jg
符號：偏旁	/pp
符號：康熙部首	/kx
符號：筆畫	/bh
符號：中文標點	/bd
符號：豎向中標	/bdz
符號：拼音	/py
符號：拼音「大寫」	/pyd
符號：注音	/zy
符號：聲調	/sd
符號：對號	/dh
符號：叉號	/ch
符號：非夾符號	/fj
符號：夾註符號	/jz
符號：行間符號	/hj
符號：漢字加圈	/hzq
符號：漢字加弧	/hzh
符號：音樂	/yy
符號：星號	/xh
符號：幾何	/jh
符號：大於符號	/dy
符號：小於符號	/xy
符號：因爲	/yw
符號：所以	/sy
符號：數字+圓	/szq
符號：數字+弧	/szh
符號：數字+點	/szd
符號：字母+圈	/zmq
符號：字母+弧	/zmh
符號：分數	/fs
符號：蘇州碼	/szm
符號：拉丁	/a
符號：拉丁	/A
符號：拉丁	/b
符號：拉丁	/B
符號：拉丁	/c
符號：拉丁	/C
符號：拉丁	/d
符號：拉丁	/D
符號：拉丁	/e
符號：拉丁	/E
符號：拉丁	/f
符號：拉丁	/F
符號：拉丁	/g
符號：拉丁	/G
符號：拉丁	/h
符號：拉丁	/H
符號：拉丁	/i
符號：拉丁	/I
符號：拉丁	/j
符號：拉丁	/J
符號：拉丁	/k
符號：拉丁	/K
符號：拉丁	/l
符號：拉丁	/L
符號：拉丁	/m
符號：拉丁	/M
符號：拉丁	/n
符號：拉丁	/N
符號：拉丁	/o
符號：拉丁	/O
符號：拉丁	/p
符號：拉丁	/P
符號：拉丁	/q
符號：拉丁	/Q
符號：拉丁	/r
符號：拉丁	/R
符號：拉丁	/s
符號：拉丁	/S
符號：拉丁	/t
符號：拉丁	/T
符號：拉丁	/u
符號：拉丁	/U
符號：拉丁	/v
符號：拉丁	/V
符號：拉丁	/w
符號：拉丁	/W
符號：拉丁	/x
符號：拉丁	/X
符號：拉丁	/y
符號：拉丁	/Y
符號：拉丁	/z
符號：拉丁	/Z
符號：拉丁	/aa
符號：拉丁	/AA
符號：拉丁	/ae
符號：拉丁	/AE
符號：拉丁	/ao
符號：拉丁	/AO
符號：拉丁	/au
符號：拉丁	/AU
符號：拉丁	/av
符號：拉丁	/AV
符號：拉丁	/ay
符號：拉丁	/AY
符號：拉丁	/db
符號：拉丁	/ff
符號：拉丁	/ffi
符號：拉丁	/ffl
符號：拉丁	/fi
符號：拉丁	/fl
符號：拉丁	/fn
符號：拉丁	/hv
符號：拉丁	/HV
符號：拉丁	/ij
符號：拉丁	/IJ
符號：拉丁	/lj
符號：拉丁	/ll
符號：拉丁	/LL
符號：拉丁	/ls
符號：拉丁	/lz
符號：拉丁	/nj
符號：拉丁	/Nj
符號：拉丁	/NJ
符號：拉丁	/oe
符號：拉丁	/OE
符號：拉丁	/oi
符號：拉丁	/OI
符號：拉丁	/oo
符號：拉丁	/OO
符號：拉丁	/ou
符號：拉丁	/OU
符號：拉丁	/qp
符號：拉丁	/Rx
符號：拉丁	/tc
符號：拉丁	/th
符號：拉丁	/ts
符號：拉丁	/tz
符號：拉丁	/TZ
符號：拉丁	/ue
符號：拉丁	/vy
符號：拉丁	/VY
符號：拉丁	/ww
符號：拉丁	/num
符號：上標、下標	/sb
符號：上標、下標	/xb
符號：希臘	/xl
符號：希臘	/xld
符號：俄語	/ey
符號：俄語	/eyd
符號：月份	/yf
符號：五十音	/iro
符號：假名	/jm
符號：假名	/pjm
符號：假名	/jmk
符號：假名	/jmg
符號：假名	/jms
符號：假名	/jmz
符號：假名	/jmt
符號：假名	/jmd
符號：假名	/jmn
符號：假名	/jmh
符號：假名	/jmb
符號：假名	/jmp
符號：假名	/jmm
符號：假名	/jmy
符號：假名	/jmr
符號：假名	/jmw
符號：假名	/jma
符號：假名	/jmi
符號：假名	/jmu
符號：假名	/jme
符號：假名	/jmo
符號：假名+圈	/jmq
符號：假名+半角	/jmbj
符號：韓文	/hw
符號：韓文+圈	/hwq
符號：韓文+弧	/hwh
符號：點號	/yd
符號：中英標點	/bdzy
符號：動物	/edwj
符號：兩棲/爬行動物	/elx
符號：表情	/ebq
符號：貓臉	/eml
符號：天氣	/etq
符號：常用旗幟	/egq
符號：手勢	/ess
符號：手勢	/euu
符號：按鍵	/aj
符號：特殊符號	/tsfh
符號：常用	/ecy
符號：常用	/eiy
符號：中華	/ezh
符號：早餐	/ezc
符號：串串	/ecc
符號：串串	/eii
符號：體育器材	/etyqc
符號：運動員	/eydy
符號：動物臉	/edwl
符號：箱包	/ebb
符號：午餐/晚餐	/ewc
符號：景點/地標	/ejd
符號：器官	/eqg
符號：圓形	/eyx
符號：紙幣	/ezb
符號：財富	/ecf
符號：夜空	/eyk
符號：自然	/ezr
符號：娛樂	/eyule
符號：宗教	/ezj
符號：家禽	/ejj
符號：工具	/egj
符號：帽子/頭盔	/emz
符號：甜心/桃心	/etx
符號：數碼	/esm
符號：數碼	/eum
符號：早點	/ezd
符號：時分	/esf
符號：月亮	/eyl
符號：服裝	/efz
符號：服裝	/efv
符號：水果	/esg
符號：水果	/eug
符號：植物	/ezw
符號：樂器	/eyq
符號：武器/戰鬥	/ewq
符號：汽車	/eqc
符號：汽車	/eqi
符號：火車	/ehc
符號：火車	/ehi
符號：公交車	/egjc
符號：公交車	/egji
符號：獎牌	/ejp
符號：球類/球具	/eql
符號：甜點	/etd
符號：十二生肖	/esesx
符號：十二生肖	/eueux
符號：節慶	/ejrsc
符號：粗糧	/ecl
符號：精靈	/ejl
符號：船隻	/ecz
符號：船隻	/ecv
符號：花朵	/ehd
符號：蔬菜	/esc
符號：葉子	/eyz
符號：蟲子	/echz
符號：蟲子	/eiz
符號：血型	/exx
符號：西餐	/exc
符號：調料	/etl
符號：酒水	/ejs
符號：雪	/exue
符號：小零食	/exls
符號：小零食	/exlu
符號：電器/電子	/edq
符號：鞋子	/exz
符號：顏色	/eys
符號：飲品	/eyp
符號：餐具	/ecj
符號：髮型	/efx
符號：水生動物	/esw
符號：鳥類	/eniao
符號：麪包	/emb
符號：點心	/edx
符號：Emoji 17.0新增	/e17
符號：五角星	/wjx
符號：計數算籌數字符	/scsz
符號：橫式算籌數字	/sch
符號：縱式算籌數字	/scz
符號：象形計數符號	/xxtj
符號：西方計數符號	/xftj
化學：元素週期表	/hx
化學：氫	/hxh
化學：氦	/hxhe
化學：鋰	/hxli
化學：鈹	/hxbe
化學：硼	/hxb
化學：碳	/hxc
化學：氮	/hxn
化學：氧	/hxo
化學：氟	/hxf
化學：氖	/hxne
化學：鈉	/hxna
化學：鎂	/hxmg
化學：鋁	/hxal
化學：硅	/hxsi
化學：磷	/hxp
化學：硫	/hxs
化學：氯	/hxcl
化學：氬	/hxar
化學：鉀	/hxk
化學：鈣	/hxca
化學：鈧	/hxsc
化學：鈦	/hxti
化學：釩	/hxv
化學：鉻	/hxcr
化學：錳	/hxmn
化學：鐵	/hxfe
化學：鈷	/hxco
化學：鎳	/hxni
化學：銅	/hxcu
化學：鋅	/hxzn
化學：鎵	/hxga
化學：鍺	/hxge
化學：砷	/hxas
化學：硒	/hxse
化學：溴	/hxbr
化學：氪	/hxkr
化學：銣	/hxrb
化學：鍶	/hxsr
化學：釔	/hxy
化學：鋯	/hxzr
化學：鈮	/hxnb
化學：鉬	/hxmo
化學：鍀	/hxtc
化學：釕	/hxru
化學：銠	/hxrh
化學：鈀	/hxpd
化學：銀	/hxag
化學：鎘	/hxcd
化學：銦	/hxin
化學：錫	/hxsn
化學：銻	/hxsb
化學：碲	/hxte
化學：碘	/hxi
化學：氙	/hxxe
化學：銫	/hxcs
化學：鋇	/hxba
化學：鑭	/hxla
化學：鈰	/hxce
化學：鐠	/hxpr
化學：釹	/hxnd
化學：鉕	/hxpm
化學：釤	/hxsm
化學：銪	/hxeu
化學：釓	/hxgd
化學：鋱	/hxtb
化學：鏑	/hxdy
化學：鈥	/hxho
化學：鉺	/hxer
化學：銩	/hxtm
化學：鐿	/hxyb
化學：鑥	/hxlu
化學：鉿	/hxhf
化學：鉭	/hxta
化學：鎢	/hxw
化學：錸	/hxre
化學：鋨	/hxos
化學：銥	/hxir
化學：鉑	/hxpt
化學：金	/hxau
化學：汞	/hxhg
化學：鉈	/hxtl
化學：鉛	/hxpb
化學：鉍	/hxbi
化學：釙	/hxpo
化學：砹	/hxat
化學：氡	/hxrn
化學：鈁	/hxfr
化學：鐳	/hxra
化學：錒	/hxac
化學：釷	/hxth
化學：鏷	/hxpa
化學：鈾	/hxu
化學：鎿	/hxnp
化學：鈈	/hxpu
化學：鎇	/hxam
化學：鋦	/hxcm
化學：錇	/hxbk
化學：鐦	/hxcf
化學：鎄	/hxes
化學：鐨	/hxfm
化學：鍆	/hxmd
化學：鍩	/hxno
化學：鐒	/hxlr
化學：鑪	/hxrf
化學：𨧀	/hxdb
化學：𨭎	/hxsg
化學：𨨏	/hxbh
化學：𨭆	/hxhs
