菊花	菊花 🌼
美元	美元 $ 💵 💲
美刀	美刀 $
星号	星号 *️⃣
星号键	星号键 *️⃣
零	零 0️⃣
一	一 1️⃣
二	二 2️⃣
三	三 3️⃣
四	四 4️⃣
五	五 5️⃣
六	六 6️⃣
七	七 7️⃣
八	八 8️⃣
九	九 9️⃣
港元	港元 HK$
港币	港币 HK$
澳门元	澳门元 MOP$
澳门币	澳门币 MOP$
葡币	葡币 MOP$
新加坡元	新加坡元 S$
新加坡币	新加坡币 S$
英镑	英镑 £ 💷
镑	镑 £
copyright	copyright ©
版权	版权 ©
版权符号	版权符号 ©
registered	registered ®
注册	注册 ®
注册商标	注册商标 ®
注册标记	注册标记 ®
泰铢	泰铢 ฿
铢	铢 ฿
俩叹号	俩叹号 ‼️
双叹号	双叹号 ‼️
双惊叹号	双惊叹号 ‼️
双感叹号	双感叹号 ‼️
叹号问号	叹号问号 ⁉️
叹问号	叹问号 ⁉️
惊问	惊问 ⁉️
感叹号问号	感叹号问号 ⁉️
疑问惊叹	疑问惊叹 ⁉️
疑问惊叹号	疑问惊叹号 ⁉️
卢比	卢比 ₨
欧元	欧元 € 💶
印度卢比	印度卢比 ₹
比特币	比特币 ₿
TM	TM ™
商标	商标 ™
商标符号	商标符号 ™
info	info ℹ️
information	information ℹ️
资讯	资讯 ℹ️
左右	左右 ↔️
左右箭头	左右箭头 ↔️
上下	上下 ↕️
上下箭头	上下箭头 ↕️
左上	左上 ↖️
左上箭头	左上箭头 ↖️
右上	右上 ↗️
右上箭头	右上箭头 ↗️
右下	右下 ↘️
右下箭头	右下箭头 ↘️
左下	左下 ↙️
左下箭头	左下箭头 ↙️
回车	回车 ↩️
手表	手表 ⌚
表	表 ⌚
沙漏	沙漏 ⌛ ⏳
牛皮	牛皮 🐮🍺
红凤凰	红凤凰 🐦‍🔥
电脑键盘	电脑键盘 ⌨️
键盘	键盘 ⌨️
弹出	弹出 ⏏️
弹出按钮	弹出按钮 ⏏️
推出	推出 ⏏️
推出按钮	推出按钮 ⏏️
快进	快进 ⏩
快进符号	快进符号 ⏩
快退	快退 ⏪
快退符号	快退符号 ⏪
快上	快上 ⏫
快下	快下 ⏬
下一首	下一首 ⏭️
上一首	上一首 ⏮️
